              2	226800990
           2.01	301611725
           2.02	404639957
           2.03	538696135
           2.04	678681672
           2.05	790996229
           2.06	880314004
           2.07	844728585
           2.08	1125798215508528
           2.09	562895315001600
            2.1	1122396010748200
           2.11	140752726705881
           2.12	1125798215508656
           2.13	982163337213737
           2.14	1122396077438837
           2.15	34359738360
           2.16	1122395805807201
           2.17	1122395999413760
           2.18	1122396089415360
           2.19	28
            2.2	1122395995612288
           2.21	561420042537152
           2.22	561420042530704
           2.23	100421456
           2.24	16055632249909835540
           2.25	561420042120576
           2.26	1122395966973284
           2.27	12800
           2.28	18445618275494041176
           2.29	1122867659932456
            2.3	200
           2.31	985063634240072
           2.32	24
           2.33	1125798215510448
           2.34	0
           2.35	3779571221232
           2.36	0
           2.37	0
           2.38	4260607558584
           2.39	1125798215510440
            2.4	1122396063194848
           2.41	160
           2.42	1125798215515184
           2.43	32
           2.44	1122396072306432
           2.45	140720308486144
           2.46	0
           2.47	32776
           2.48	1122395937901312
           2.49	12800
            2.5	32
           2.51	160
           2.52	1122396004917288
           2.53	12800
           2.54	1122395910823008
           2.55	100396392
           2.56	12800
           2.57	237426112
           2.58	1122396001655272
           2.59	100396240
            2.6	160
           2.61	237426112
           2.62	33975984
           2.63	1122396052912384
           2.64	1122396052883712
           2.65	1125798215515184
           2.66	33870720
           2.67	1125798215516976
           2.68	0
           2.69	6383200
            2.7	33858904
